NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
A.C. Green,10/4/1963,920,https://www.nba.com/stats/player/920/career/,A.C. Green,greenac01,10/4/1963,https://www.basketball-reference.com/players/g/greenac01.html,45,F,6'9,225 lbs,Oregon State,USA
A.J. Bramlett,1/10/1977,1920,https://www.nba.com/stats/player/1920/career/,A.J. Bramlett,bramlaj01,1/10/1977,https://www.basketball-reference.com/players/b/bramlaj01.html,47,C,6'10,227 lbs,Arizona,USA
A.J. English,7/11/1967,76672,https://www.nba.com/stats/player/76672/career/,A.J. English,engliaj01,7/11/1967,https://www.basketball-reference.com/players/e/engliaj01.html,14,G,6'3,175 lbs,Virginia Union,USA
A.J. Guyton,2/12/1978,2062,https://www.nba.com/stats/player/2062/career/,A.J. Guyton,guytoaj01,2/12/1978,https://www.basketball-reference.com/players/g/guytoaj01.html,11,G,6'2,185 lbs,Indiana,USA
A.J. Wynder,9/11/1964,78627,https://www.nba.com/stats/player/78627/career/,A.J. Wynder,wyndeaj01,9/11/1964,https://www.basketball-reference.com/players/w/wyndeaj01.html,12,G,6'2,180 lbs,Fairfield,USA
Aaron Brooks,1/14/1985,201166,https://www.nba.com/stats/player/201166/career/,Aaron Brooks,brookaa01,1/14/1985,https://www.basketball-reference.com/players/b/brookaa01.html,30,G,6'1,161 lbs,Oregon,USA
Aaron Gordon,9/16/1995,203932,https://www.nba.com/stats/player/203932/career/,Aaron Gordon,gordoaa01,9/16/1995,https://www.basketball-reference.com/players/g/gordoaa01.html,50,F,6'8,235 lbs,Arizona,USA
Aaron Gray,12/7/1984,201189,https://www.nba.com/stats/player/201189/career/,Aaron Gray,grayaa01,12/7/1984,https://www.basketball-reference.com/players/g/grayaa01.html,33,C,7'1,270 lbs,Pittsburgh,USA
Aaron Harrison,10/28/1994,1626151,https://www.nba.com/stats/player/1626151/career/,Aaron Harrison,harriaa01,10/28/1994,https://www.basketball-reference.com/players/h/harriaa01.html,9,G,6'6,210 lbs,Kentucky,USA
Aaron Holiday,9/30/1996,1628988,https://www.nba.com/stats/player/1628988/career/,Aaron Holiday,holidaa01,9/30/1996,https://www.basketball-reference.com/players/h/holidaa01.html,3,G,6'1,185 lbs,UCLA,USA
Aaron Jackson,5/6/1986,1628935,https://www.nba.com/stats/player/1628935/career/,Aaron Jackson,jacksaa01,5/6/1986,https://www.basketball-reference.com/players/j/jacksaa01.html,5,G,6'3,183 lbs,Duquesne,USA
Aaron James,10/5/1952,77115,https://www.nba.com/stats/player/77115/career/,Aaron James,jamesaa01,10/5/1952,https://www.basketball-reference.com/players/j/jamesaa01.html,23,F,6'8,210 lbs,Grambling,USA
Aaron McKie,10/2/1972,243,https://www.nba.com/stats/player/243/career/,Aaron McKie,mckieaa01,10/2/1972,https://www.basketball-reference.com/players/m/mckieaa01.html,2,G,6'5,209 lbs,Temple,USA
Aaron Miles,4/13/1983,101223,https://www.nba.com/stats/player/101223/career/,Aaron Miles,milesaa01,4/13/1983,https://www.basketball-reference.com/players/m/milesaa01.html,,G,6'1,190 lbs,Kansas,USA
Aaron Nesmith,10/16/1999,1630174,https://www.nba.com/stats/player/1630174/career/,Aaron Nesmith,nesmiaa01,10/16/1999,https://www.basketball-reference.com/players/n/nesmiaa01.html,26,G-F,6'5,215 lbs,Vanderbilt,USA
Aaron Swinson,12/21/1970,78286,https://www.nba.com/stats/player/78286/career/,Aaron Swinson,swinsaa01,1/9/1971,https://www.basketball-reference.com/players/s/swinsaa01.html,4,F,6'5,230 lbs,Auburn,USA
Aaron Williams,10/2/1971,1425,https://www.nba.com/stats/player/1425/career/,Aaron Williams,williaa01,10/2/1971,https://www.basketball-reference.com/players/w/williaa01.html,34,C-F,6'9,235 lbs,Xavier,USA
Abdel Nader,9/25/1993,1627846,https://www.nba.com/stats/player/1627846/career/,Abdel Nader,naderab01,9/25/1993,https://www.basketball-reference.com/players/n/naderab01.html,11,F,6'5,225 lbs,Iowa State,Egypt
Abdul Jeelani,2/10/1954,77126,https://www.nba.com/stats/player/77126/career/,Abdul Jeelani,jeelaab01,2/10/1954,https://www.basketball-reference.com/players/j/jeelaab01.html,11,F,6'8,210 lbs,Wisconsin-Parkside,USA
Acie Earl,6/23/1970,768,https://www.nba.com/stats/player/768/career/,Acie Earl,earlac01,6/23/1970,https://www.basketball-reference.com/players/e/earlac01.html,55,F-C,6'11,240 lbs,Iowa,USA
Acie Law,1/25/1985,201151,https://www.nba.com/stats/player/201151/career/,Acie Law,lawac01,1/25/1985,https://www.basketball-reference.com/players/l/lawac01.html,2,G,6'3,202 lbs,Texas A&M,USA
Adam Harrington,7/5/1980,2492,https://www.nba.com/stats/player/2492/career/,Adam Harrington,harriad01,7/5/1980,https://www.basketball-reference.com/players/h/harriad01.html,21,G,6'5,200 lbs,Auburn,USA
Adam Keefe,2/22/1970,228,https://www.nba.com/stats/player/228/career/,Adam Keefe,keefead01,2/22/1970,https://www.basketball-reference.com/players/k/keefead01.html,32,F,6'9,230 lbs,Stanford,USA
Adam Mokoka,7/18/1998,1629690,https://www.nba.com/stats/player/1629690/career/,Adam Mokoka,mokokad01,7/18/1998,https://www.basketball-reference.com/players/m/mokokad01.html,20,G,6'4,190 lbs,Mega Basket,France
Adam Morrison,7/19/1984,200747,https://www.nba.com/stats/player/200747/career/,Adam Morrison,morriad01,7/19/1984,https://www.basketball-reference.com/players/m/morriad01.html,6,F,6'8,205 lbs,Gonzaga,USA
Admiral Schofield,3/30/1997,1629678,https://www.nba.com/stats/player/1629678/career/,Admiral Schofield,schofad01,3/30/1997,https://www.basketball-reference.com/players/s/schofad01.html,1,G-F,6'5,241 lbs,Tennessee,United Kingdom
Adolph Hoefer,7/12/1917,77035,https://www.nba.com/stats/player/77035/career/,,,,,3,G,5'9,158 lbs,Queens,USA
Adonal Foyle,3/9/1975,1502,https://www.nba.com/stats/player/1502/career/,Adonal Foyle,foylead01,3/9/1975,https://www.basketball-reference.com/players/f/foylead01.html,31,C,6'10,270 lbs,Colgate,St. Vincent & Grenadines
Adonis Jordan,8/21/1970,1817,https://www.nba.com/stats/player/1817/career/,Adonis Jordan,jordaad01,8/21/1970,https://www.basketball-reference.com/players/j/jordaad01.html,1,G,5'11,170 lbs,Kansas,USA
Adonis Thomas,3/25/1993,203519,https://www.nba.com/stats/player/203519/career/,Adonis Thomas,thomaad01,3/25/1993,https://www.basketball-reference.com/players/t/thomaad01.html,7,G-F,6'7,240 lbs,Memphis,USA
Adreian Payne,2/19/1991,203940,https://www.nba.com/stats/player/203940/career/,Adreian Payne,paynead01,2/19/1991,https://www.basketball-reference.com/players/p/paynead01.html,33,F,6'10,237 lbs,Michigan State,USA
Adrian Branch,11/17/1963,76237,https://www.nba.com/stats/player/76237/career/,Adrian Branch,brancad01,11/17/1963,https://www.basketball-reference.com/players/b/brancad01.html,1,F,6'7,185 lbs,Maryland,USA
Adrian Caldwell,7/4/1966,154,https://www.nba.com/stats/player/154/career/,Adrian Caldwell,caldwad01,7/4/1966,https://www.basketball-reference.com/players/c/caldwad01.html,45,F,6'8,265 lbs,Lamar,USA
Adrian Dantley,2/26/1955,76504,https://www.nba.com/stats/player/76504/career/,Adrian Dantley,dantlad01,2/28/1955,https://www.basketball-reference.com/players/d/dantlad01.html,4,F,6'5,208 lbs,Notre Dame,USA
Adrian Griffin,7/4/1974,1559,https://www.nba.com/stats/player/1559/career/,Adrian Griffin,griffad01,7/4/1974,https://www.basketball-reference.com/players/g/griffad01.html,44,G-F,6'5,230 lbs,Seton Hall,USA
Adrian Smith,10/5/1936,78178,https://www.nba.com/stats/player/78178/career/,Adrian Smith,smithad01,10/5/1936,https://www.basketball-reference.com/players/s/smithad01.html,10,G,6'1,180 lbs,Kentucky,USA
AJ Hammons,8/27/1992,1627773,https://www.nba.com/stats/player/1627773/career/,A.J. Hammons,hammoaj01,8/27/1992,https://www.basketball-reference.com/players/h/hammoaj01.html,20,C,7'1,260 lbs,Purdue,USA
AJ Price,10/7/1986,201985,https://www.nba.com/stats/player/201985/career/,A.J. Price,priceaj01,10/7/1986,https://www.basketball-reference.com/players/p/priceaj01.html,12,G,6'2,185 lbs,Connecticut,USA
Al Bianchi,3/26/1932,76160,https://www.nba.com/stats/player/76160/career/,Al Bianchi,biancal01,3/26/1932,https://www.basketball-reference.com/players/b/biancal01.html,24,G,6'3,185 lbs,Bowling Green,USA
Al Brightman,9/22/1923,76254,https://www.nba.com/stats/player/76254/career/,,,,,16-Aug,F,6'2,195 lbs,University of Charleston,USA
