Date,Team,Acquired,Relinquished,Notes
10/30/2000,76ers,,Ademola Okulaja,placed on IR with strained back
10/30/2000,76ers,,Craig Claxton / Speedy Claxton,placed on IL with torn ACL in left knee (out for season)
10/30/2000,76ers,,Matt Geiger,placed on IR with recovery from left knee surgery
10/30/2000,Blazers,,Arvydas Sabonis,placed on IR with recovery from left knee surgery
10/30/2000,Blazers,,Detlef Schrempf,placed on IR with pinched nerve in neck (player had not officially submitted retirement papers)
10/30/2000,Blazers,,Gary Grant,placed on IL with sore right knee
10/30/2000,Bucks,,Jason Hart,placed on IL with lower back spasms
10/30/2000,Bucks,,Mark Pope,placed on IL with back spasms
10/30/2000,Bulls,,Corey Benjamin,placed on IL with sore left shoulder / right shoulder tendinitis (per Bulls media guide)
10/30/2000,Bulls,,Dalibor Bagaric,placed on IL with sore right knee
10/30/2000,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
10/30/2000,Cavaliers,,Brevin Knight,placed on IR with surgery on right patella
10/30/2000,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
10/30/2000,Cavaliers,,Mark Bryant,placed on IL with patellar tendinitis in both knees
10/30/2000,Celtics,,Chris Herren,placed on IL with sprained left ankle
10/30/2000,Celtics,,Greg Minor,placed on IR with fractured right hip
10/30/2000,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
10/30/2000,Clippers,,Earl Boykins,placed on IL with bruised right knee
10/30/2000,Clippers,,Zendon Hamilton,placed on IL with strained lower back
10/30/2000,Grizzlies,,Brent Price,placed on IL with right knee inflammation
10/30/2000,Grizzlies,,Doug West,placed on IL with strained right shoulder
10/30/2000,Grizzlies,,William Cunningham,placed on IL with right knee tendinitis
10/30/2000,Hawks,,Cal Bowdler,placed on IL with sprained MCL in right knee
10/30/2000,Hawks,,Dikembe Mutombo,placed on IR with malaria
10/30/2000,Hawks,,Dion Glover,placed on IR with a stress fracture in left foot
10/30/2000,Heat,,Alonzo Mourning,placed on IL with kidney disorder
10/30/2000,Heat,,Harold Jamison,placed on IR with bruised knee & calf
10/30/2000,Heat,,Ricky Davis,placed on IL with stress fracture in right foot
10/30/2000,Hornets,,Lee Nailon,placed on IL with right ankle tendinitis (right knee tendinitis per E)
10/30/2000,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
10/30/2000,Jazz,,John Crotty,placed on IR with recovery from right knee surgery
10/30/2000,Jazz,,Scott Padgett,placed on IL with left knee tendinitis
10/30/2000,Kings,,Jabari Smith,placed on IL with patella tendinitis
10/30/2000,Knicks,,Jonathan Kerner,placed on IL with right knee patella tendinitis
10/30/2000,Knicks,,Luc Longley,"placed on IR with chondromalacia, right knee"
10/30/2000,Knicks,,Pete Mickeal,placed on IL with lower back pain
10/30/2000,Lakers,,Derek Fisher,placed on IL with stress fracture in right foot
10/30/2000,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
10/30/2000,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
10/30/2000,Magic,,Dee Brown (a),placed on IR with ruptured tendon in left (right?) knee
10/30/2000,Mavericks,,Donnell Harvey,placed on IR with bruised elbow
10/30/2000,Mavericks,,Etan Thomas,placed on IL with sprained big toe
10/30/2000,Mavericks,,Gary Trent,placed on IR with strained left abductor muscle
10/30/2000,Nets,,Jamie Feick,placed on IL with left Achilles tendon injury
10/30/2000,Nets,,Keith Van Horn,placed on IL with broken left leg
10/30/2000,Nets,,Kerry Kittles,placed on IL with right knee surgery
10/30/2000,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
10/30/2000,Nuggets,,Mamadou N'diaye,placed on IL with strained groin
10/30/2000,Nuggets,,Ryan Bowen,placed on IL with sprained left ankle
10/30/2000,Pacers,,Bruno Sundov,placed on IL with sprained left ankle
10/30/2000,Pacers,,Lari Ketner,placed on IL with left patella tendinitis
10/30/2000,Pacers,,Terry Mills,placed on IR with degenerative arthritis in left knee
10/30/2000,Pistons,,Brian Cardinal,placed on IL with patellar tendinitis in both knees
10/30/2000,Pistons,,Dana Barros,placed on IL with strained lower back
10/30/2000,Pistons,,Torraye Braggs,placed on IL with strained right elbow
10/30/2000,Raptors,,Aleksandar Radojevic,placed on IR with recovery from back surgery
10/30/2000,Raptors,,Garth Joseph,placed on IR with strained rib cage muscles
10/30/2000,Raptors,,Michael Stewart,placed on IL recovering from surgery on knee
10/30/2000,Rockets,,Dan Langhi,placed on IL with bilateral medial tibial periositis (shin splints)
10/30/2000,Sonics,,David Wingate,placed on IL with sore left knee
10/30/2000,Sonics,,Olumide Oyedeji,placed on IL with sprained right ankle
