Date,Team,Acquired,Relinquished,Notes
2000-10-03,76ers,, Matt Geiger,torn cartilage and sprained ligaments in left knee (will require surgery)
2000-10-03,Hawks,, Dion Glover,stress fracture of fifth metatarsal bone in left foot
2000-10-03,Nets,, Jamie Feick,surgery on left ankle to remove calcium deposits
2000-10-03,Wizards,, Lorenzo Williams,will undergo arthroscopic surgery on knee
2000-10-04,Jazz,, John Crotty,arthroscopic surgery on right knee to repair damaged cartilage (out 6 weeks)
2000-10-06,76ers,, Matt Geiger,arthroscopic surgery on left knee to repair torn medial meniscus cartilage (out 4-6 weeks)
2000-10-06,Nets,, Lucious Harris,surgery to repair hernia (out 6-8 weeks)
2000-10-07,Heat,, Alonzo Mourning,diagnosed with kidney disorder
2000-10-08,Magic,, Dee Brown (a),torn right quadriceps tendon (out 3-4 months)
2000-10-09,Nets,, Jamie Feick,surgery on left Achilles tendon (out 6-8 weeks)
2000-10-12,Pacers,, Jalen Rose,fractured left wrist (out 4-6 weeks)
2000-10-13,Blazers,, Arvydas Sabonis,arthroscopic surgery on left knee to repair torn cartilage (out 4-6 weeks)
2000-10-16,Heat,, Alonzo Mourning,diagnosed with focal glomerulosclerosis (kidney disorder) (out for season)
2000-10-17,Hawks,, Dikembe Mutombo,diagnosed with mild case of milaria (out 2 weeks)
2000-10-17,Heat,, Ricky Davis,stress fracture in right foot (out 6 weeks)
2000-10-17,Nets,, Keith Van Horn,broken left fibula (out 4-6 weeks)
2000-10-20,Raptors,, Aleksandar Radojevic,surgery on back to relieve pressure in nerves of spine in lower back
2000-10-22,76ers,, Craig Claxton / Speedy Claxton,torn ACL in left knee (out for season)
2000-10-25,Hawks,, Lorenzen Wright,partially torn cartilage in right knee (out 2-3 weeks)
2000-10-31,Hawks,, Lorenzen Wright,sprained right knee (DNP)
2000-10-31,Hornets,, Derrick Coleman,change in heart medication (DNP)
2000-10-31,Nets,, Lucious Harris,hernia (DNP)
2000-10-31,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-10-31,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-01,Hornets,, Derrick Coleman,change in heart medication (DNP)
2000-11-01,Magic,, Grant Hill,sore left ankle (DNP)
2000-11-01,Raptors,, Tyrone Bogues / Muggsy Bogues,lateral soreness in right knee (DNP)
2000-11-01,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-01,Wizards,, Ronald Jones / Popeye Jones,fractured left index finger (DNP)
2000-11-02,Hawks,, Lorenzen Wright,sprained right knee (DNP)
2000-11-02,Nuggets,, Antonio McDyess,back spasms (DTD)
2000-11-02,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-03,Hornets,, Derrick Coleman,change in heart medication (DNP)
2000-11-03,Nets,, Lucious Harris,hernia (DNP)
2000-11-03,Raptors,, Tyrone Bogues / Muggsy Bogues,sore right knee (DNP)
2000-11-03,Wizards,, Ronald Jones / Popeye Jones,surgery to repair fractured left index finger (out 2 months)
2000-11-04,Hawks,, Lorenzen Wright,sprained right knee (DNP)
2000-11-04,Hornets,, Derrick Coleman,change in heart medication (DNP)
2000-11-04,Magic,, Grant Hill,sore left ankle (DNP)
2000-11-04,Mavericks,, Greg Buckner,sprained right foot
2000-11-04,Nets,, Lucious Harris,hernia (DNP)
2000-11-04,Nuggets,, Antonio McDyess,back spasms (DNP)
2000-11-04,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-04,Raptors,, Tyrone Bogues / Muggsy Bogues,sore right knee (DNP)
2000-11-04,Rockets,, Kelvin Cato,sprained left ankle (DNP)
2000-11-04,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-04,Spurs,, Jaren Jackson Sr.,sprained left ankle (DNP)
2000-11-06,Bucks,, Darvin Ham,surgery on left foot (out 3-4 months)
2000-11-06,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-07,76ers,, Aaron McKie,strained back muscle (DNP)
2000-11-07,Bulls,, Brad Miller,broken right hand (DTD)
2000-11-07,Knicks,, Latrell Sprewell,back spasms (DNP)
2000-11-07,Raptors,, Tyrone Bogues / Muggsy Bogues,sore right knee (DNP)
2000-11-07,Rockets,, Kelvin Cato,sprained left ankle (DNP)
2000-11-07,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-08,76ers,, Aaron McKie,strained back muscle (DNP)
2000-11-08,Hornets,, P.J. Brown,strained left arch (DTD)
2000-11-08,Knicks,, Latrell Sprewell,back spasms (DNP)
2000-11-08,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-08,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-08,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-08,Warriors,, Vonteego Cummings,surgery on fractured right cheekbone to insert plate
2000-11-08,Warriors,, Vonteego Cummings,fractured right cheekbone (DNP)
2000-11-09,Bulls,, Brad Miller,broken right hand (DNP)
2000-11-09,Hornets,, P.J. Brown,strained left arch (DNP)
2000-11-09,Nets,, Kendall Gill,right knee tendinitis (DNP)
2000-11-09,Raptors,, Tyrone Bogues / Muggsy Bogues,arthroscopic surgery on right knee (out 4-6 weeks)
2000-11-09,Sonics,, Brent Barry,sprained left ankle (DNP)
2000-11-10,Knicks,, Chris Childs,bruised right hamstring (DNP)
2000-11-10,Knicks,, Latrell Sprewell,back spasms (DNP)
2000-11-10,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-10,Warriors,, Mookie Blaylock,sprained left ankle (DNP)
2000-11-10,Warriors,, Vonteego Cummings,fractured right cheekbone (DNP)
2000-11-11,Bucks,, Scott Williams,back spasms (DNP)
2000-11-11,Cavaliers,, Wesley Person,bruised right elbow (DNP)
2000-11-11,Celtics,, Adrian Griffin,back spasms (DNP)
2000-11-11,Hornets,, P.J. Brown,strained calf (DNP)
2000-11-11,Knicks,, Chris Childs,bruised right hamstring (DNP)
2000-11-11,Knicks,, Latrell Sprewell,back spasms (DNP)
2000-11-11,Pacers,, Al Harrington,sprained right ankle (DNP)
2000-11-11,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-11,Timberwolves,, Terrell Brandon,sprained left ankle (DNP)
2000-11-12,Pistons,, Billy Owens,back spasms (DNP)
2000-11-13,Mavericks,, Eduardo Najera,bruised right shin (DNP)
2000-11-14,Cavaliers,, Chris Gatling,bruised left knee (DNP)
2000-11-14,Cavaliers,, J.R. Reid,tendinitis in both knees (DNP)
2000-11-14,Heat,, Don MacLean,surgery on right toe (out 4-6 weeks)
2000-11-14,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-14,Kings,, Chris Webber,sprained left ankle (DNP)
2000-11-14,Magic,, Tracy McGrady,strained hip flexor (DNP)
2000-11-14,Rockets,, Jason Collier,flu (DNP)
2000-11-14,Warriors,, Chris Mills,bruised lower back (DNP)
2000-11-14,Warriors,, Danny Fortson,sore right foot (DNP)
2000-11-15,Bucks,, Scott Williams,back spasms (DNP)
2000-11-15,Cavaliers,, Chris Gatling,bruised left knee (DNP)
2000-11-15,Celtics,, Adrian Griffin,stiffness in lower back (DNP)
2000-11-15,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-15,Heat,, Eddie Jones,strained right calf (DNP)
2000-11-15,Pacers,, Al Harrington,sprained right ankle (DNP)
2000-11-15,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-15,Timberwolves,, Terrell Brandon,sprained left ankle (DNP)
2000-11-15,Warriors,, Chris Mills,bruised lower back (DNP)
2000-11-15,Warriors,, Vinny Del Negro,sprained left ankle (DNP)
2000-11-16,Kings,, Chris Webber,sprained left ankle (DNP)
2000-11-16,Nuggets,, Raef LaFrentz,bruised left hand metacarpal (DNP)
2000-11-16,Rockets,, Walt Williams,strained left hamstring & groin (DNP)
2000-11-17,Heat,, Eddie Jones,strained right calf (DNP)
2000-11-17,Pacers,, Al Harrington,sprained right ankle (DNP)
2000-11-17,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-17,Timberwolves,, Terrell Brandon,sprained left ankle (DNP)
2000-11-17,Warriors,, Vinny Del Negro,sprained left ankle (DNP)
2000-11-18,Grizzlies,, Shareef Abdur-Rahim,mother's medical problem (DNP)
2000-11-18,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-18,Heat,, Eddie Jones,strained right calf (DNP)
2000-11-18,Heat,, Tim Hardaway Sr.,right knee tendinitis (DNP)
2000-11-18,Jazz,, John Starks,mother's illness (DNP)
2000-11-18,Lakers,, Shaquille O'Neal,sprained left ankle (DNP)
2000-11-18,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-18,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-18,Rockets,, Carlos Rogers,ill (DNP)
2000-11-18,Timberwolves,, Terrell Brandon,sprained left ankle (DNP)
2000-11-19,Bulls,, Fred Hoiberg,bruised left leg (DNP)
2000-11-19,Heat,, Tim Hardaway Sr.,right knee tendinitis (DNP)
2000-11-19,Kings,, Jason Williams,sprained ankle (DNP)
2000-11-19,Knicks,, Marcus Camby,sprained left ankle (DNP)
2000-11-20,Clippers,, Jeff McInnis,bruised left knee (DNP)
2000-11-20,Jazz,, John Starks,mother's illness (DNP)
2000-11-20,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-20,Suns,, Jason Kidd,fined $5K by NBA for comments regarding referees following game
2000-11-21,Cavaliers,, J.R. Reid,patellar tendinitis in both knees (DNP)
2000-11-21,Hornets,, Otis Thorpe,strained plantar fascia tendon in left foot (DTD)
2000-11-21,Knicks,, Marcus Camby,sprained left ankle (DNP)
2000-11-21,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-21,Pacers,, Jalen Rose,fractured left wrist (DNP)
2000-11-21,Pistons,, Joe Smith (Leynard),DNP
2000-11-21,Warriors,, Danny Fortson,surgery on right foot to repair stress fracture (date approximate)
2000-11-21,Warriors,, Mookie Blaylock,stomach virus (DNP)
2000-11-22,Bucks,, Sam Cassell,strained left knee (DNP)
2000-11-22,Cavaliers,, J.R. Reid,patellar tendinitis in both knees (DNP)
2000-11-22,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-22,Heat,, Eddie Jones,strained right calf (DNP)
2000-11-22,Knicks,, Charlie Ward,sore right knee (DNP)
2000-11-22,Knicks,, Marcus Camby,sprained left ankle (DNP)
2000-11-22,Spurs,, Samaki Walker,flu (DNP)
2000-11-22,Warriors,, Mookie Blaylock,stomach virus (DNP)
2000-11-24,Bucks,, Glenn Robinson,cold (DNP)
2000-11-24,Cavaliers,, J.R. Reid,patellar tendinitis in both knees (DNP)
2000-11-24,Clippers,, Earl Boykins,bruised right knee (DNP)
2000-11-24,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-24,Pacers,, Austin Croshere,sprained left ankle (DNP)
2000-11-24,Sonics,, Rashard Lewis,bruised left shin (DNP)
2000-11-24,Spurs,, Samaki Walker,flu (DNP)
2000-11-25,Bucks,, Glenn Robinson,flu (DNP)
2000-11-25,Clippers,, Earl Boykins,bruised right knee (DNP)
2000-11-25,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-25,Knicks,, Charlie Ward,sore right knee (DNP)
2000-11-25,Knicks,, Charlie Ward,arthroscopic surgery on right knee to remove loose cartilage (out 6-8 weeks) (date approximate)
2000-11-25,Magic,, Tracy McGrady,infected left hand (DNP)
2000-11-25,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-25,Sonics,, Rashard Lewis,bruised left shin (DNP)
2000-11-25,Suns,, Anfernee Hardaway / Penny Hardaway,arthroscopic surgery on left knee to repair frayed cartilage (out 3-4 weeks)
2000-11-25,Warriors,, Chris Mullin,sore left knee (DNP)
2000-11-26,Bulls,, Marcus Fizer,sprained right ankle (DNP)
2000-11-26,Grizzlies,, Stromile Swift,sprained right ankle (DNP)
2000-11-27,Celtics,, Doug Overton,sprained right ankle (DTD)
2000-11-27,Clippers,, Earl Boykins,bruised right knee (DNP)
2000-11-27,Grizzlies,, Kevin Edwards,fractured left thumb (DNP)
2000-11-27,Grizzlies,, Stromile Swift,sprained right ankle (DNP)
2000-11-27,Kings,, Pete Carril,assistant coach underwent heart bypass surgery (date approximate)
2000-11-27,Magic,, Tracy McGrady,infected left hand (DNP)
2000-11-27,Rockets,, Jason Collier,surgery on right knee to repair torn cartilage (out 3-4 weeks) (date approximate)
2000-11-28,76ers,, Matt Geiger,right quadriceps tendinitis (DNP)
2000-11-28,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-11-28,Celtics,, Doug Overton,sprained right ankle (DNP)
2000-11-28,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-11-28,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-28,Nets,, Jim McIlvaine,gastro intestinal infection (DNP)
2000-11-28,Pistons,, Chucky Atkins,sprained left ankle (DTD)
2000-11-28,Pistons,, Jerome Williams,flu (DTD)
2000-11-28,Raptors,, Vince Carter,strained left calf (DNP)
2000-11-28,Rockets,, Jason Collier,recovering from right knee surgery (DNP)
2000-11-29,76ers,, Matt Geiger,right quadriceps tendinitis (DNP)
2000-11-29,Nets,, Jim McIlvaine,gastro intestinal infection (DNP)
2000-11-29,Pistons,, Chucky Atkins,sprained left ankle (DNP)
2000-11-29,Pistons,, Jerome Williams,flu (DNP)
2000-11-29,Raptors,, Vince Carter,strained left quadriceps (DNP)
2000-11-29,Suns,, Mario Elie,foot infection (DNP)
2000-11-29,Warriors,, Chris Mullin,sore left knee (DNP)
2000-11-30,Blazers,, Arvydas Sabonis,strained left knee (DNP)
2000-11-30,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-11-30,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-11-30,Mavericks,, Hubert Davis,strained left groin (DNP)
2000-11-30,Warriors,, Chris Mullin,sore left knee (DNP)
2000-12-01,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-12-01,Kings,, Nick Anderson,strained lower back (DNP)
2000-12-01,Magic,, Don Reid,stomach virus (DNP)
2000-12-01,Pistons,, Jerry Stackhouse,flu (DNP)
2000-12-01,Raptors,, Vince Carter,strained left quadriceps (DNP)
2000-12-01,Warriors,, Adonal Foyle,surgery on right ring finger to repair ligament damage
2000-12-02,76ers,, Tyrone Hill,right quadriceps tendinitis / sprained right ankle (P) (DNP)
2000-12-02,Blazers,, Arvydas Sabonis,sprained left knee (DNP)
2000-12-02,Cavaliers,, Brevin Knight,sprained left ankle (DNP)
2000-12-02,Magic,, Don Reid,stomach virus (DNP)
2000-12-02,Mavericks,, Greg Buckner,sprained right foot (DNP)
2000-12-02,Mavericks,, Hubert Davis,strained left groin (DNP)
2000-12-02,Rockets,, Jason Collier,recovering from right knee surgery (DNP)
2000-12-02,Sonics,, Vin Baker,right knee inflammation (DNP)
2000-12-02,Warriors,, Chris Mullin,sore left knee (DNP)
2000-12-03,Mavericks,, Eduardo Najera,sprained ankle (DNP)
2000-12-03,Mavericks,, Hubert Davis,strained left groin (DNP)
2000-12-03,Mavericks,, Steve Nash,strained right calf (DNP)
2000-12-03,Sonics,, Vin Baker,sore right knee (DNP)
2000-12-03,Warriors,, Chris Mills,sore right ankle (DNP)
2000-12-03,Warriors,, Chris Mullin,sore left knee (DNP)
2000-12-03,Wizards,, Mitch Richmond,sprained left knee (DNP)
2000-12-04,76ers,, Tyrone Hill,sprained right ankle (DNP)
2000-12-04,Jazz,, Donyell Marshall,sprained left knee (DNP)
2000-12-05,76ers,, Matt Geiger,right quadriceps tendinitis (DNP)
2000-12-05,Bucks,, Jerome Kersey,fractured left wrist (DNP)
2000-12-05,Bulls,, Elton Brand,hyperextended left knee (DNP)
2000-12-05,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-12-05,Bulls,, Ron Mercer,flu (DNP)
2000-12-05,Jazz,, Donyell Marshall,sprained left knee (DNP)
2000-12-05,Kings,, Hidayet Turkoglu / Hedo Turkoglu,sprained left ankle (DNP)
2000-12-05,Mavericks,, Don Nelson,head coach & GM diagnosed with prostate cancer
2000-12-05,Mavericks,, Eduardo Najera,bruised right calf (DNP)
2000-12-05,Mavericks,, Steve Nash,bruised right calf / strained right groin (P) (DNP)
2000-12-05,Nets,, Stephon Marbury,sprained left ankle (DNP)
2000-12-05,Raptors,, Vince Carter,strained left quadriceps (DNP)
2000-12-05,Rockets,, Jason Collier,recovering from right knee surgery (DNP)
2000-12-05,Rockets,, Kenny Thomas,flu (DNP)
2000-12-05,Rockets,, Maurice Taylor,flu (DNP)
2000-12-06,76ers,, Eric Snow,stress fracture in right ankle (out 6-8 weeks)
2000-12-06,Blazers,, Arvydas Sabonis,strained left knee (DNP)
2000-12-06,Bucks,, Jerome Kersey,fractured left wrist (DNP)
2000-12-06,Bulls,, Elton Brand,hyperextended left knee (DNP)
2000-12-06,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-12-06,Cavaliers,, Brevin Knight,sore right knee (DNP)
2000-12-06,Mavericks,, Eduardo Najera,strained right groin (DNP)
2000-12-06,Nets,, Kendall Gill,right knee tendinitis (DNP)
2000-12-06,Nets,, Stephon Marbury,sprained left ankle (DNP)
2000-12-06,Pacers,, Jonathan Bender,sprained left ankle (DNP)
2000-12-06,Pacers,, Zan Tabak,strained neck (DNP)
2000-12-06,Pistons,, Jerome Williams,sprained right ankle (DNP)
2000-12-06,Raptors,, Vince Carter,strained left quadriceps (DNP)
2000-12-06,Warriors,, Chris Mills,right ankle inflammation (DNP)
2000-12-07,Bucks,, Jerome Kersey,fractured left wrist (DNP)
2000-12-08,76ers,, Eric Snow,stress fracture in right ankle (DNP)
2000-12-08,76ers,, Matt Geiger,right quadriceps tendinitis (DNP)
2000-12-08,76ers,, Tyrone Hill,sprained right ankle (DNP)
2000-12-08,Bulls,, Elton Brand,hyperextended left knee (DNP)
2000-12-08,Bulls,, Fred Hoiberg,sprained left ankle (DNP)
2000-12-08,Bulls,, Jake Voskuhl,tendinitis in left foot (DNP)
2000-12-08,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-12-08,Hornets,, Eddie Robinson,sprained right ankle (DNP)
2000-12-08,Kings,, Predrag Stojakovic / Peja Stojakovic,bruised right shoulder (DNP)
