,Date,Team,Acquired,Relinquished,Notes
0,2000-10-30,76ers,,Ademola Okulaja,placed on IR with strained back
1,2000-10-30,76ers,,Craig Claxton,placed on IL with torn ACL in left knee (out for season)
2,2000-10-30,76ers,,Matt Geiger,placed on IR with recovery from left knee surgery
3,2000-10-30,Blazers,,Arvydas Sabonis,placed on IR with recovery from left knee surgery
4,2000-10-30,Blazers,,Detlef Schrempf,placed on IR with pinched nerve in neck (player had not officially submitted retirement papers)
5,2000-10-30,Blazers,,Gary Grant,placed on IL with sore right knee
6,2000-10-30,Bucks,,Jason Hart,placed on IL with lower back spasms
7,2000-10-30,Bucks,,Mark Pope,placed on IL with back spasms
8,2000-10-30,Bulls,,Corey Benjamin,placed on IL with sore left shoulder / right shoulder tendinitis (per Bulls media guide)
9,2000-10-30,Bulls,,Dalibor Bagaric,placed on IL with sore right knee
10,2000-10-30,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
11,2000-10-30,Cavaliers,,Brevin Knight,placed on IR with surgery on right patella
12,2000-10-30,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
13,2000-10-30,Cavaliers,,Mark Bryant,placed on IL with patellar tendinitis in both knees
14,2000-10-30,Celtics,,Chris Herren,placed on IL with sprained left ankle
15,2000-10-30,Celtics,,Greg Minor,placed on IR with fractured right hip
16,2000-10-30,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
17,2000-10-30,Clippers,,Earl Boykins,placed on IL with bruised right knee
18,2000-10-30,Clippers,,Zendon Hamilton,placed on IL with strained lower back
19,2000-10-30,Grizzlies,,Brent Price,placed on IL with right knee inflammation
20,2000-10-30,Grizzlies,,Doug West,placed on IL with strained right shoulder
21,2000-10-30,Grizzlies,,William Cunningham,placed on IL with right knee tendinitis
22,2000-10-30,Hawks,,Cal Bowdler,placed on IL with sprained MCL in right knee
23,2000-10-30,Hawks,,Dikembe Mutombo,placed on IR with malaria
24,2000-10-30,Hawks,,Dion Glover,placed on IR with a stress fracture in left foot
25,2000-10-30,Heat,,Alonzo Mourning,placed on IL with kidney disorder
26,2000-10-30,Heat,,Harold Jamison,placed on IR with bruised knee & calf
27,2000-10-30,Heat,,Ricky Davis,placed on IL with stress fracture in right foot
28,2000-10-30,Hornets,,Lee Nailon,placed on IL with right ankle tendinitis (right knee tendinitis per E)
29,2000-10-30,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
30,2000-10-30,Jazz,,John Crotty,placed on IR with recovery from right knee surgery
31,2000-10-30,Jazz,,Scott Padgett,placed on IL with left knee tendinitis
32,2000-10-30,Kings,,Jabari Smith,placed on IL with patella tendinitis
33,2000-10-30,Knicks,,Jonathan Kerner,placed on IL with right knee patella tendinitis
34,2000-10-30,Knicks,,Luc Longley,"placed on IR with chondromalacia, right knee"
35,2000-10-30,Knicks,,Pete Mickeal,placed on IL with lower back pain
36,2000-10-30,Lakers,,Derek Fisher,placed on IL with stress fracture in right foot
37,2000-10-30,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
38,2000-10-30,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
39,2000-10-30,Magic,,Dee Brown,placed on IR with ruptured tendon in left (right?) knee
40,2000-10-30,Mavericks,,Donnell Harvey,placed on IR with bruised elbow
41,2000-10-30,Mavericks,,Etan Thomas,placed on IL with sprained big toe
42,2000-10-30,Mavericks,,Gary Trent,placed on IR with strained left abductor muscle
43,2000-10-30,Nets,,Jamie Feick,placed on IL with left Achilles tendon injury
44,2000-10-30,Nets,,Keith Van Horn,placed on IL with broken left leg
45,2000-10-30,Nets,,Kerry Kittles,placed on IL with right knee surgery
46,2000-10-30,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
47,2000-10-30,Nuggets,,Mamadou N'diaye,placed on IL with strained groin
48,2000-10-30,Nuggets,,Ryan Bowen,placed on IL with sprained left ankle
49,2000-10-30,Pacers,,Bruno Sundov,placed on IL with sprained left ankle
50,2000-10-30,Pacers,,Lari Ketner,placed on IL with left patella tendinitis
51,2000-10-30,Pacers,,Terry Mills,placed on IR with degenerative arthritis in left knee
52,2000-10-30,Pistons,,Brian Cardinal,placed on IL with patellar tendinitis in both knees
53,2000-10-30,Pistons,,Dana Barros,placed on IL with strained lower back
54,2000-10-30,Pistons,,Torraye Braggs,placed on IL with strained right elbow
55,2000-10-30,Raptors,,Aleksandar Radojevic,placed on IR with recovery from back surgery
56,2000-10-30,Raptors,,Garth Joseph,placed on IR with strained rib cage muscles
57,2000-10-30,Raptors,,Michael Stewart,placed on IL recovering from surgery on knee
58,2000-10-30,Rockets,,Dan Langhi,placed on IL with bilateral medial tibial periositis (shin splints)
59,2000-10-30,Sonics,,David Wingate,placed on IL with sore left knee
60,2000-10-30,Sonics,,Olumide Oyedeji,placed on IL with sprained right ankle
61,2000-10-30,Spurs,,Derrick Dial,placed on IR with left shoulder impingement
62,2000-10-30,Spurs,,Ira Newble,placed on IR with plantar fasciaitis in left foot
63,2000-10-30,Spurs,,Shawnelle Scott,placed on IL with left patella tendinitis
64,2000-10-30,Suns,,Anfernee Hardaway,placed on IL with left knee injury
65,2000-10-30,Suns,,Rex Chapman,placed on IR with thumb & knee injuries
66,2000-10-30,Suns,,Tom Gugliotta,placed on IL with torn ACL in left knee
67,2000-10-30,Timberwolves,,Andrae Patterson,placed on IL with right knee injury
68,2000-10-30,Timberwolves,,Todd Day,placed on IL with hyperextended left knee
69,2000-10-30,Timberwolves,,Tom Hammonds,placed on IR with sore ankle (knee injury per ESPN)
70,2000-10-30,Warriors,,Bob Sura,placed on IL with herniated disc in back
71,2000-10-30,Warriors,,Chris Mullin,placed on IL with strained lower back
72,2000-10-30,Wizards,,Calvin Booth,placed on IL with strained right hamstring
73,2000-10-30,Wizards,,Laron Profit,placed on IL with back spasms
74,2000-10-30,Wizards,,Mike Smith,placed on IL with left patella tendinitis
75,2000-10-31,Heat,,Dan Majerle,placed on IL with strained left hamstring
