,Date,Team,Acquired,Relinquished,Notes
0,2000-10-03,76ers,,Matt Geiger,torn cartilage and sprained ligaments in left knee (will require surgery)
1,2000-10-03,Hawks,,Dion Glover,stress fracture of fifth metatarsal bone in left foot
2,2000-10-03,Nets,,Jamie Feick,surgery on left ankle to remove calcium deposits
3,2000-10-03,Wizards,,Lorenzo Williams,will undergo arthroscopic surgery on knee
4,2000-10-04,Jazz,,John Crotty,arthroscopic surgery on right knee to repair damaged cartilage (out 6 weeks)
5,2000-10-06,76ers,,Matt Geiger,arthroscopic surgery on left knee to repair torn medial meniscus cartilage (out 4-6 weeks)
6,2000-10-06,Nets,,Lucious Harris,surgery to repair hernia (out 6-8 weeks)
7,2000-10-07,Heat,,Alonzo Mourning,diagnosed with kidney disorder
8,2000-10-08,Magic,,Dee Brown,torn right quadriceps tendon (out 3-4 months)
9,2000-10-09,Nets,,Jamie Feick,surgery on left Achilles tendon (out 6-8 weeks)
10,2000-10-12,Pacers,,Jalen Rose,fractured left wrist (out 4-6 weeks)
11,2000-10-13,Blazers,,Arvydas Sabonis,arthroscopic surgery on left knee to repair torn cartilage (out 4-6 weeks)
12,2000-10-16,Heat,,Alonzo Mourning,diagnosed with focal glomerulosclerosis (kidney disorder) (out for season)
13,2000-10-17,Hawks,,Dikembe Mutombo,diagnosed with mild case of milaria (out 2 weeks)
14,2000-10-17,Heat,,Ricky Davis,stress fracture in right foot (out 6 weeks)
15,2000-10-17,Nets,,Keith Van Horn,broken left fibula (out 4-6 weeks)
16,2000-10-20,Raptors,,Aleksandar Radojevic,surgery on back to relieve pressure in nerves of spine in lower back
17,2000-10-22,76ers,,Craig Claxton,torn ACL in left knee (out for season)
18,2000-10-25,Hawks,,Lorenzen Wright,partially torn cartilage in right knee (out 2-3 weeks)
19,2000-10-31,Hawks,,Lorenzen Wright,sprained right knee (DNP)
20,2000-10-31,Hornets,,Derrick Coleman,change in heart medication (DNP)
21,2000-10-31,Nets,,Lucious Harris,hernia (DNP)
22,2000-10-31,Pacers,,Jalen Rose,fractured left wrist (DNP)
23,2000-10-31,Sonics,,Brent Barry,sprained left ankle (DNP)
24,2000-11-01,Hornets,,Derrick Coleman,change in heart medication (DNP)
25,2000-11-01,Magic,,Grant Hill,sore left ankle (DNP)
26,2000-11-01,Raptors,,Tyrone Bogues,lateral soreness in right knee (DNP)
27,2000-11-01,Sonics,,Brent Barry,sprained left ankle (DNP)
28,2000-11-01,Wizards,,Ronald Jones,fractured left index finger (DNP)
29,2000-11-02,Hawks,,Lorenzen Wright,sprained right knee (DNP)
30,2000-11-02,Nuggets,,Antonio McDyess,back spasms (DTD)
31,2000-11-02,Pacers,,Jalen Rose,fractured left wrist (DNP)
32,2000-11-03,Hornets,,Derrick Coleman,change in heart medication (DNP)
33,2000-11-03,Nets,,Lucious Harris,hernia (DNP)
34,2000-11-03,Raptors,,Tyrone Bogues,sore right knee (DNP)
35,2000-11-03,Wizards,,Ronald Jones,surgery to repair fractured left index finger (out 2 months)
36,2000-11-04,Hawks,,Lorenzen Wright,sprained right knee (DNP)
37,2000-11-04,Hornets,,Derrick Coleman,change in heart medication (DNP)
38,2000-11-04,Magic,,Grant Hill,sore left ankle (DNP)
39,2000-11-04,Mavericks,,Greg Buckner,sprained right foot
40,2000-11-04,Nets,,Lucious Harris,hernia (DNP)
41,2000-11-04,Nuggets,,Antonio McDyess,back spasms (DNP)
42,2000-11-04,Pacers,,Jalen Rose,fractured left wrist (DNP)
43,2000-11-04,Raptors,,Tyrone Bogues,sore right knee (DNP)
44,2000-11-04,Rockets,,Kelvin Cato,sprained left ankle (DNP)
45,2000-11-04,Sonics,,Brent Barry,sprained left ankle (DNP)
46,2000-11-04,Spurs,,Jaren Jackson Sr.,sprained left ankle (DNP)
47,2000-11-06,Bucks,,Darvin Ham,surgery on left foot (out 3-4 months)
48,2000-11-06,Sonics,,Brent Barry,sprained left ankle (DNP)
49,2000-11-07,76ers,,Aaron McKie,strained back muscle (DNP)
50,2000-11-07,Bulls,,Brad Miller,broken right hand (DTD)
51,2000-11-07,Knicks,,Latrell Sprewell,back spasms (DNP)
52,2000-11-07,Raptors,,Tyrone Bogues,sore right knee (DNP)
53,2000-11-07,Rockets,,Kelvin Cato,sprained left ankle (DNP)
54,2000-11-07,Sonics,,Brent Barry,sprained left ankle (DNP)
55,2000-11-08,76ers,,Aaron McKie,strained back muscle (DNP)
56,2000-11-08,Hornets,,P.J. Brown,strained left arch (DTD)
57,2000-11-08,Knicks,,Latrell Sprewell,back spasms (DNP)
58,2000-11-08,Mavericks,,Greg Buckner,sprained right foot (DNP)
59,2000-11-08,Pacers,,Jalen Rose,fractured left wrist (DNP)
60,2000-11-08,Sonics,,Brent Barry,sprained left ankle (DNP)
61,2000-11-08,Warriors,,Vonteego Cummings,surgery on fractured right cheekbone to insert plate
62,2000-11-08,Warriors,,Vonteego Cummings,fractured right cheekbone (DNP)
63,2000-11-09,Bulls,,Brad Miller,broken right hand (DNP)
64,2000-11-09,Hornets,,P.J. Brown,strained left arch (DNP)
65,2000-11-09,Nets,,Kendall Gill,right knee tendinitis (DNP)
66,2000-11-09,Raptors,,Tyrone Bogues,arthroscopic surgery on right knee (out 4-6 weeks)
67,2000-11-09,Sonics,,Brent Barry,sprained left ankle (DNP)
68,2000-11-10,Knicks,,Chris Childs,bruised right hamstring (DNP)
69,2000-11-10,Knicks,,Latrell Sprewell,back spasms (DNP)
70,2000-11-10,Pacers,,Jalen Rose,fractured left wrist (DNP)
71,2000-11-10,Warriors,,Mookie Blaylock,sprained left ankle (DNP)
72,2000-11-10,Warriors,,Vonteego Cummings,fractured right cheekbone (DNP)
73,2000-11-11,Bucks,,Scott Williams,back spasms (DNP)
74,2000-11-11,Cavaliers,,Wesley Person,bruised right elbow (DNP)
75,2000-11-11,Celtics,,Adrian Griffin,back spasms (DNP)
76,2000-11-11,Hornets,,P.J. Brown,strained calf (DNP)
77,2000-11-11,Knicks,,Chris Childs,bruised right hamstring (DNP)
78,2000-11-11,Knicks,,Latrell Sprewell,back spasms (DNP)
79,2000-11-11,Pacers,,Al Harrington,sprained right ankle (DNP)
80,2000-11-11,Pacers,,Jalen Rose,fractured left wrist (DNP)
81,2000-11-11,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
82,2000-11-12,Pistons,,Billy Owens,back spasms (DNP)
83,2000-11-13,Mavericks,,Eduardo Najera,bruised right shin (DNP)
84,2000-11-14,Cavaliers,,Chris Gatling,bruised left knee (DNP)
85,2000-11-14,Cavaliers,,J.R. Reid,tendinitis in both knees (DNP)
86,2000-11-14,Heat,,Don MacLean,surgery on right toe (out 4-6 weeks)
87,2000-11-14,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
88,2000-11-14,Kings,,Chris Webber,sprained left ankle (DNP)
89,2000-11-14,Magic,,Tracy McGrady,strained hip flexor (DNP)
90,2000-11-14,Rockets,,Jason Collier,flu (DNP)
91,2000-11-14,Warriors,,Chris Mills,bruised lower back (DNP)
92,2000-11-14,Warriors,,Danny Fortson,sore right foot (DNP)
93,2000-11-15,Bucks,,Scott Williams,back spasms (DNP)
94,2000-11-15,Cavaliers,,Chris Gatling,bruised left knee (DNP)
95,2000-11-15,Celtics,,Adrian Griffin,stiffness in lower back (DNP)
96,2000-11-15,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
97,2000-11-15,Heat,,Eddie Jones,strained right calf (DNP)
98,2000-11-15,Pacers,,Al Harrington,sprained right ankle (DNP)
99,2000-11-15,Pacers,,Jalen Rose,fractured left wrist (DNP)
100,2000-11-15,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
101,2000-11-15,Warriors,,Chris Mills,bruised lower back (DNP)
102,2000-11-15,Warriors,,Vinny Del Negro,sprained left ankle (DNP)
103,2000-11-16,Kings,,Chris Webber,sprained left ankle (DNP)
104,2000-11-16,Nuggets,,Raef LaFrentz,bruised left hand metacarpal (DNP)
105,2000-11-16,Rockets,,Walt Williams,strained left hamstring & groin (DNP)
106,2000-11-17,Heat,,Eddie Jones,strained right calf (DNP)
107,2000-11-17,Pacers,,Al Harrington,sprained right ankle (DNP)
108,2000-11-17,Pacers,,Jalen Rose,fractured left wrist (DNP)
109,2000-11-17,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
110,2000-11-17,Warriors,,Vinny Del Negro,sprained left ankle (DNP)
111,2000-11-18,Grizzlies,,Shareef Abdur-Rahim,mother's medical problem (DNP)
112,2000-11-18,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
113,2000-11-18,Heat,,Eddie Jones,strained right calf (DNP)
114,2000-11-18,Heat,,Tim Hardaway Sr.,right knee tendinitis (DNP)
115,2000-11-18,Jazz,,John Starks,mother's illness (DNP)
116,2000-11-18,Lakers,,Shaquille O'Neal,sprained left ankle (DNP)
117,2000-11-18,Mavericks,,Greg Buckner,sprained right foot (DNP)
118,2000-11-18,Pacers,,Jalen Rose,fractured left wrist (DNP)
119,2000-11-18,Rockets,,Carlos Rogers,ill (DNP)
120,2000-11-18,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
121,2000-11-19,Bulls,,Fred Hoiberg,bruised left leg (DNP)
122,2000-11-19,Heat,,Tim Hardaway Sr.,right knee tendinitis (DNP)
123,2000-11-19,Kings,,Jason Williams,sprained ankle (DNP)
124,2000-11-19,Knicks,,Marcus Camby,sprained left ankle (DNP)
125,2000-11-20,Clippers,,Jeff McInnis,bruised left knee (DNP)
126,2000-11-20,Jazz,,John Starks,mother's illness (DNP)
127,2000-11-20,Mavericks,,Greg Buckner,sprained right foot (DNP)
128,2000-11-20,Suns,,Jason Kidd,fined $5K by NBA for comments regarding referees following game
129,2000-11-21,Cavaliers,,J.R. Reid,patellar tendinitis in both knees (DNP)
130,2000-11-21,Hornets,,Otis Thorpe,strained plantar fascia tendon in left foot (DTD)
131,2000-11-21,Knicks,,Marcus Camby,sprained left ankle (DNP)
132,2000-11-21,Mavericks,,Greg Buckner,sprained right foot (DNP)
133,2000-11-21,Pacers,,Jalen Rose,fractured left wrist (DNP)
134,2000-11-21,Pistons,,Joe Smith,DNP
135,2000-11-21,Warriors,,Danny Fortson,surgery on right foot to repair stress fracture (date approximate)
136,2000-11-21,Warriors,,Mookie Blaylock,stomach virus (DNP)
137,2000-11-22,Bucks,,Sam Cassell,strained left knee (DNP)
138,2000-11-22,Cavaliers,,J.R. Reid,patellar tendinitis in both knees (DNP)
139,2000-11-22,Heat,,Don MacLean,recovering from surgery on right toe (DNP)
140,2000-11-22,Heat,,Eddie Jones,strained right calf (DNP)
141,2000-11-22,Knicks,,Charlie Ward,sore right knee (DNP)
142,2000-11-22,Knicks,,Marcus Camby,sprained left ankle (DNP)
143,2000-11-22,Spurs,,Samaki Walker,flu (DNP)
